"Speaker Name","Title","Date of Speech Delivered","URL to Speech"
"David Cameron","David Cameron's departing words as Prime Minister","13 July 2016","https://www.gov.uk/government/speeches/david-camerons-departing-words-as-prime-minister"
"David Cameron","Joint press conference: David Cameron and Prime Minister Narendra Modi","12 November 2015","https://www.gov.uk/government/speeches/joint-press-conference-david-cameron-and-prime-minister-narendra-modi"
"David Cameron","European Council June 2015: David Cameron's speech","26 June 2015","https://www.gov.uk/government/speeches/european-council-june-2015-david-camerons-speech"
"David Cameron","G7: Statement by David Cameron and Barack Obama","7 June 2015","https://www.gov.uk/government/speeches/g7-statement-by-david-cameron-and-barack-obama"
"David Cameron","Joint press conference: David Cameron and President Sisi","5 November 2015","https://www.gov.uk/government/speeches/joint-press-conference-david-cameron-and-president-sisi"
"David Cameron","Together, let’s reform the EU: article by David Cameron","22 January 2016","https://www.gov.uk/government/speeches/together-lets-reform-the-eu-article-by-david-cameron"
"David Cameron","Joint press conference: David Cameron and President Xi Jinping","21 October 2015","https://www.gov.uk/government/speeches/joint-press-conference-david-cameron-and-president-xi-jinping"
"David Cameron","Prime Minister David Cameron's speech at Tetley, Stockton-on-Tees","12 May 2015","https://www.gov.uk/government/speeches/prime-minister-david-camerons-speech-at-tetley-stockton-on-tees"
"David Cameron","New Year 2016: David Cameron's article","1 January 2016","https://www.gov.uk/government/speeches/new-year-2016-david-camerons-article"
"David Cameron","David Cameron and Angela Merkel in Berlin: press conference","29 May 2015","https://www.gov.uk/government/speeches/david-cameron-and-angela-merkel-in-berlin-press-conference"
"David Cameron","PM David Cameron statement on Theresa May and next steps: 11 July 2016","11 July 2016","https://www.gov.uk/government/speeches/pm-david-cameron-statement-on-theresa-may-and-next-steps-11-july-2016"
"David Cameron","David Cameron and Mahmoud Abbas press conference","13 March 2014","https://www.gov.uk/government/speeches/press-conference-in-jerusalem"
"David Cameron","David Cameron and Angela Merkel press conference","7 January 2015","https://www.gov.uk/government/speeches/david-cameron-and-angela-merkel-press-conference"
"David Cameron","David Cameron with the Prime Minister of Malaysia","13 April 2012","https://www.gov.uk/government/speeches/david-cameron-with-the-prime-minister-of-malaysia"
"David Cameron","David Cameron and Matteo Renzi press conference","1 April 2014","https://www.gov.uk/government/speeches/david-cameron-and-matteo-renzi-press-conference"
"David Cameron","David Cameron and Tony Abbott joint press conference","13 November 2014","https://www.gov.uk/government/speeches/david-cameron-and-tony-abbott-joint-press-conference"
"David Cameron","David Cameron's speech at Unilever offices in Mumbai","18 February 2013","https://www.gov.uk/government/speeches/david-camerons-speech-at-unilever-offices-in-mumbai"
"David Cameron","David Cameron and Shimon Peres press conference","12 March 2014","https://www.gov.uk/government/speeches/david-cameron-and-shimon-peres-press-conference"
"David Cameron","Prime Minister David Cameron's speech at Rolls-Royce, Goodwood","18 February 2015","https://www.gov.uk/government/speeches/prime-minister-david-camerons-speech-at-rolls-royce-goodwood"
"David Cameron","UK-USA press conference at G7: David Cameron’s speech","5 June 2014","https://www.gov.uk/government/speeches/uk-usa-press-conference-at-g7-david-camerons-speech"
"David Cameron","Pakistan visit: statements from David Cameron and Nawaz Sharif","30 June 2013","https://www.gov.uk/government/speeches/pakistan-visit-statements-from-david-cameron-and-nawaz-sharif"
"David Cameron","Joint letter from David Cameron, Andrew Mitchell and Baroness Warsi to UK mosques","11 August 2011","https://www.gov.uk/government/speeches/joint-letter-from-david-cameron-andrew-mitchell-and-baroness-warsi-to-uk-mosques"
"David Cameron","David Cameron and Angela Merkel press conference: February 2014","27 February 2014","https://www.gov.uk/government/speeches/david-cameron-and-angela-merkel-press-conference-february-2014"
"David Cameron","Girl Summit 2014: David Cameron's speech","22 July 2014","https://www.gov.uk/government/speeches/girl-summit-2014-david-camerons-speech"
"David Cameron","CeBIT 2014: David Cameron's speech","9 January 2014","https://www.gov.uk/government/speeches/cebit-2014-david-camerons-speech"
"David Cameron","Economy speech delivered by David Cameron","7 March 2013","https://www.gov.uk/government/speeches/economy-speech-delivered-by-david-cameron"
"David Cameron","Scottish Parliament new powers: David Cameron speech","22 January 2015","https://www.gov.uk/government/speeches/scottish-parliament-new-powers-david-cameron-speech"
"David Cameron","European Council October 2014: David Cameron’s speech","24 October 2014","https://www.gov.uk/government/speeches/european-council-october-2014-david-camerons-speech"
"David Cameron","European Council June 2014: David Cameron’s statement","30 June 2014","https://www.gov.uk/government/speeches/european-council-june-2014-david-camerons-statement"
"David Cameron","100 days: article by David Cameron","15 August 2015","https://www.gov.uk/government/speeches/100-days-article-by-david-cameron"
"David Cameron","Estate regeneration: article by David Cameron","10 January 2016","https://www.gov.uk/government/speeches/estate-regeneration-article-by-david-cameron"
"David Cameron","David Cameron and NATO Secretary General press conference","19 June 2014","https://www.gov.uk/government/speeches/david-cameron-and-nato-secretary-general-press-conference"
"David Cameron","Transcript of David Cameron Q&A at New York University","15 March 2012","https://www.gov.uk/government/speeches/transcript-of-david-cameron-qa-at-new-york-university"
"David Cameron","UN Climate Summit 2014: David Cameron’s remarks","23 September 2014","https://www.gov.uk/government/speeches/un-climate-summit-2014-david-camerons-remarks"
