"Speaker Name","Title","Date of Speech Delivered","URL to Speech"
"Theresa May","Statement from the new Prime Minister Theresa May","13 July 2016","https://www.gov.uk/government/speeches/statement-from-the-new-prime-minister-theresa-may"
"Theresa May","World AIDS Day 2017: Theresa May's message","1 December 2017","https://www.gov.uk/government/speeches/world-aids-day-2017-theresa-mays-message"
"Theresa May","Theresa May's final speech as Prime Minister: 24 July 2019","24 July 2019","https://www.gov.uk/government/speeches/theresa-mays-final-speech-as-prime-minister-24-july-2019"
"Theresa May","We have voted to leave the EU, but not Europe: article by Theresa May","17 February 2017","https://www.gov.uk/government/speeches/we-have-voted-to-leave-the-eu-but-not-europe-article-by-theresa-may"
"Theresa May","The shared society: article by Theresa May","8 January 2017","https://www.gov.uk/government/speeches/the-shared-society-article-by-theresa-may"
"Theresa May","Pride reception 2017: Theresa May's speech","19 July 2017","https://www.gov.uk/government/speeches/pride-reception-2017-theresa-mays-speech"
"Theresa May","PM opening statement at first CHOGM Executive Session: 19 April 2018","19 April 2018","https://www.gov.uk/government/speeches/pm-opening-statement-at-first-chogm-executive-session-19-april-2018"
"Theresa May","Defeating modern slavery: article by Theresa May","30 July 2016","https://www.gov.uk/government/speeches/defeating-modern-slavery-theresa-may-article"
"Theresa May","Theresa May's speech to the UN General Assembly","20 September 2016","https://www.gov.uk/government/speeches/theresa-mays-speech-to-the-un-general-assembly"
"Theresa May","PM opening statement at first CHOGM Executive Session: 19 April 2018","19 April 2018","https://www.gov.uk/government/speeches/pm-opening-statement-at-first-chogm-executive-session-19-april-2018"
"Theresa May","Mental health problems are everyone’s problem: article by Theresa May","11 January 2016","https://www.gov.uk/government/speeches/mental-health-problems-are-everyones-problem-article-by-theresa-may"
"Theresa May","We will create a fairer society: article by Theresa May","19 January 2017","https://www.gov.uk/government/speeches/we-will-create-a-fairer-society-article-by-theresa-may"
"Theresa May","Mental health problems are everyone’s problem: article by Theresa May","11 January 2016","https://www.gov.uk/government/speeches/mental-health-problems-are-everyones-problem-article-by-theresa-may"
"Theresa May","PM press conference with President of France Emmanuel Macron: 13 June 2017","13 June 2017","https://www.gov.uk/government/speeches/pm-press-conference-with-president-of-france-emmanuel-macron-13-june-2017"
"Theresa May","PM press conference with Australian PM Malcolm Turnbull: 10 July 2017","10 July 2017","https://www.gov.uk/government/speeches/pm-press-conference-with-australian-pm-malcolm-turnbull-10-july-2017"
"Theresa May","I'll give every child a chance: article by Theresa May","10 September 2016","https://www.gov.uk/government/speeches/ill-give-every-child-a-chance-article-by-theresa-may"
"Theresa May","The new role for business in a fairer Britain: article by Theresa May","20 November 2016","https://www.gov.uk/government/speeches/the-new-role-for-business-in-a-fairer-britain-article-by-theresa-may"
